side,thr_a,thr_b,jaccard_set,size_a,size_b
underpaid,0.4,0.4,1.0,1462,1462
underpaid,0.4,0.5,0.8173734610123119,1462,1195
underpaid,0.4,0.6,0.652530779753762,1462,954
underpaid,0.5,0.4,0.8173734610123119,1195,1462
underpaid,0.5,0.5,1.0,1195,1195
underpaid,0.5,0.6,0.798326359832636,1195,954
underpaid,0.6,0.4,0.652530779753762,954,1462
underpaid,0.6,0.5,0.798326359832636,954,1195
underpaid,0.6,0.6,1.0,954,954
overpaid,0.4,0.4,1.0,1594,1594
overpaid,0.4,0.5,0.7848180677540778,1594,1251
overpaid,0.4,0.6,0.6060225846925973,1594,966
overpaid,0.5,0.4,0.7848180677540778,1251,1594
overpaid,0.5,0.5,1.0,1251,1251
overpaid,0.5,0.6,0.7721822541966427,1251,966
overpaid,0.6,0.4,0.6060225846925973,966,1594
overpaid,0.6,0.5,0.7721822541966427,966,1251
overpaid,0.6,0.6,1.0,966,966
