Comp,std,n,model
Bundesliga,0.6043697751692929,407,Defenders
La Liga,0.6708751037048455,494,Defenders
Ligue 1,0.6995766339281794,425,Defenders
Premier League,0.4944229478247159,480,Defenders
Serie A,0.5782755697861277,444,Defenders
Bundesliga,0.6247090618725527,588,Midfielders
La Liga,0.7477674140486172,581,Midfielders
Ligue 1,0.7200337635027382,582,Midfielders
Premier League,0.5977592815967859,612,Midfielders
Serie A,0.589803886433587,642,Midfielders
Bundesliga,0.6888315599017311,178,Forwards
La Liga,0.8213645077041809,193,Forwards
Ligue 1,0.7857985369996294,154,Forwards
Premier League,0.6060401383675169,186,Forwards
Serie A,0.5928248182075999,214,Forwards
Bundesliga,0.7926178916745872,97,Goalkeepers
La Liga,0.745866779944457,113,Goalkeepers
Ligue 1,0.8024398654415703,93,Goalkeepers
Premier League,0.5575148613937345,106,Goalkeepers
Serie A,0.6542824441106964,117,Goalkeepers
