position_group,feature,spearman_rho,p_value,n
Defenders,team_pos_depth,0.016845594814229405,0.4244821603133072,2250
Defenders,league_pos_supply,-0.007663537020852124,0.7163682375840063,2250
Defenders,Age,-0.0368215427315291,0.08077260955822832,2250
Defenders,Min_pct,0.0037864311199073777,0.8575395940531383,2250
Defenders,Player_Wage_Share,0.7286784648381153,0.0,2250
Defenders,Club_Wage_Rank_Pct,0.03334044292470574,0.11386963099885566,2250
Forwards,team_pos_depth,0.054753835218553384,0.09660075769461496,922
Forwards,league_pos_supply,0.018808701588471664,0.568412114154349,922
Forwards,Age,-0.037718859994030345,0.25255480743438796,922
Forwards,Min_pct,0.002076651260276181,0.9497896725140451,922
Forwards,Player_Wage_Share,0.690572830551753,1.3572976898540753e-131,922
Forwards,Club_Wage_Rank_Pct,-0.009074621421441189,0.7831796600001701,922
Goalkeepers,team_pos_depth,0.052556591251150746,0.22884737662671834,526
Goalkeepers,league_pos_supply,-0.01157516245405401,0.7911249656755137,526
Goalkeepers,Age,-0.030508820793613733,0.4850469656183921,526
Goalkeepers,Min_pct,-0.0077163199415500785,0.8598595040814883,526
Goalkeepers,Player_Wage_Share,0.6568463560330018,2.974988663299159e-66,526
Goalkeepers,Club_Wage_Rank_Pct,-0.019419690050661076,0.6567773454863148,526
Midfielders,team_pos_depth,0.011913154876333097,0.5147943836860555,2992
Midfielders,league_pos_supply,-0.021975972178115758,0.229475744219095,2992
Midfielders,Age,-0.027068889945818,0.13879359399361602,2992
Midfielders,Min_pct,-0.009161286281825892,0.6164302856055731,2992
Midfielders,Player_Wage_Share,0.7099482765776028,0.0,2992
Midfielders,Club_Wage_Rank_Pct,0.045222662287903795,0.013365667686952328,2992
