Nation,n,mean_efficiency,pct_underpaid,pct_overpaid
ALG,61,-0.3446154614913056,0.4426229508196721,0.14754098360655737
CMR,61,-0.1544713425333703,0.4426229508196721,0.18032786885245902
POL,78,-0.10917437883662781,0.38461538461538464,0.2692307692307692
NOR,60,-0.0974216043834674,0.25,0.18333333333333332
IRL,36,-0.092757615463047,0.3333333333333333,0.3055555555555556
DEN,116,-0.07710903268377707,0.25,0.1724137931034483
SWE,65,-0.07671983355527064,0.3230769230769231,0.27692307692307694
MLI,60,-0.04918163856473683,0.36666666666666664,0.3333333333333333
ESP,933,-0.048939516941747904,0.3354769560557342,0.3011789924973205
ENG,482,-0.04444775492451913,0.3132780082987552,0.2883817427385892
WAL,36,-0.04326036481148712,0.3611111111111111,0.2777777777777778
SVK,32,-0.037015708741435,0.25,0.21875
SEN,101,-0.034441405870909964,0.3465346534653465,0.32673267326732675
SCO,54,-0.02886842337956233,0.3333333333333333,0.24074074074074073
JPN,48,-0.021411366145567833,0.22916666666666666,0.3333333333333333
NGA,67,-0.016797689762397913,0.29850746268656714,0.2835820895522388
GER,625,-0.009871311357912473,0.2928,0.3216
TUR,38,-0.005043394512301106,0.34210526315789475,0.34210526315789475
MAR,93,-0.0014815031939497535,0.27956989247311825,0.3225806451612903
AUT,94,0.005081836702137123,0.23404255319148937,0.24468085106382978
ITA,526,0.022108593485104286,0.2661596958174905,0.33079847908745247
POR,172,0.023420465262750833,0.28488372093023256,0.3372093023255814
FRA,717,0.027853513614781875,0.2580195258019526,0.36262203626220363
COL,59,0.04351693888826405,0.288135593220339,0.3389830508474576
NED,161,0.050070564733511624,0.2732919254658385,0.3167701863354037
CRO,87,0.05022914094736414,0.2413793103448276,0.28735632183908044
CIV,91,0.05485168755114235,0.24175824175824176,0.32967032967032966
ARG,180,0.07704524060615743,0.2,0.2833333333333333
URU,67,0.0830574918760318,0.19402985074626866,0.3283582089552239
SRB,85,0.08721868196412716,0.21176470588235294,0.3411764705882353
GHA,74,0.0985539677391738,0.20270270270270271,0.4189189189189189
USA,62,0.0987435211517146,0.22580645161290322,0.43548387096774194
SUI,91,0.1036074658609694,0.24175824175824176,0.3956043956043956
CZE,39,0.1227710694340421,0.20512820512820512,0.41025641025641024
BRA,273,0.16404036801408692,0.20512820512820512,0.39194139194139194
ALB,34,0.1670640868649168,0.14705882352941177,0.3235294117647059
UKR,31,0.23332615795339112,0.06451612903225806,0.3548387096774194
BEL,124,0.2888071990367232,0.18548387096774194,0.5403225806451613
