model,season,league,premium_vs_bundesliga_pct
Defenders,2022-2023,Bundesliga,0.0
Defenders,2022-2023,La Liga,-3.8834951456310662
Defenders,2022-2023,Ligue 1,-48.54368932038835
Defenders,2022-2023,Premier League,193.41407766990292
Defenders,2022-2023,Serie A,24.271844660194162
Defenders,2023-2024,Bundesliga,0.0
Defenders,2023-2024,La Liga,-16.666666666666664
Defenders,2023-2024,Ligue 1,-48.33333333333333
Defenders,2023-2024,Premier League,156.46533333333332
Defenders,2023-2024,Serie A,5.000000000000004
Defenders,2024-2025,Bundesliga,0.0
Defenders,2024-2025,La Liga,-6.666666666666665
Defenders,2024-2025,Ligue 1,-37.5
Defenders,2024-2025,Premier League,156.69516666666667
Defenders,2024-2025,Serie A,6.666666666666665
Midfielders,2022-2023,Bundesliga,0.0
Midfielders,2022-2023,La Liga,-10.89108910891089
Midfielders,2022-2023,Ligue 1,-46.53465346534653
Midfielders,2022-2023,Premier League,229.14673267326734
Midfielders,2022-2023,Serie A,9.90099009900991
Midfielders,2023-2024,Bundesliga,0.0
Midfielders,2023-2024,La Liga,-1.7857142857142905
Midfielders,2023-2024,Ligue 1,-37.5
Midfielders,2023-2024,Premier League,174.78428571428572
Midfielders,2023-2024,Serie A,14.28571428571428
Midfielders,2024-2025,Bundesliga,0.0
Midfielders,2024-2025,La Liga,-1.7467248908296984
Midfielders,2024-2025,Ligue 1,-31.00436681222707
Midfielders,2024-2025,Premier League,169.02550218340613
Midfielders,2024-2025,Serie A,13.53711790393013
Forwards,2022-2023,Bundesliga,0.0
Forwards,2022-2023,La Liga,48.14814814814814
Forwards,2022-2023,Ligue 1,-22.22222222222222
Forwards,2022-2023,Premier League,291.7621296296296
Forwards,2022-2023,Serie A,55.55555555555556
Forwards,2023-2024,Bundesliga,0.0
Forwards,2023-2024,La Liga,31.578947368421062
Forwards,2023-2024,Ligue 1,-26.315789473684216
Forwards,2023-2024,Premier League,223.95622807017546
Forwards,2023-2024,Serie A,85.08771929824562
Forwards,2024-2025,Bundesliga,0.0
Forwards,2024-2025,La Liga,102.56410256410255
Forwards,2024-2025,Ligue 1,33.974358974358964
Forwards,2024-2025,Premier League,512.119358974359
Forwards,2024-2025,Serie A,141.66666666666666
Goalkeepers,2022-2023,Bundesliga,0.0
Goalkeepers,2022-2023,La Liga,35.33333333333333
Goalkeepers,2022-2023,Ligue 1,-48.0
Goalkeepers,2022-2023,Premier League,302.95533333333333
Goalkeepers,2022-2023,Serie A,73.33333333333334
Goalkeepers,2023-2024,Bundesliga,0.0
Goalkeepers,2023-2024,La Liga,-26.66666666666667
Goalkeepers,2023-2024,Ligue 1,-40.0
Goalkeepers,2023-2024,Premier League,105.17233333333334
Goalkeepers,2023-2024,Serie A,-15.000000000000002
Goalkeepers,2024-2025,Bundesliga,0.0
Goalkeepers,2024-2025,La Liga,-16.000000000000004
Goalkeepers,2024-2025,Ligue 1,-38.0
Goalkeepers,2024-2025,Premier League,146.4274
Goalkeepers,2024-2025,Serie A,-6.999999999999995
