team_norm,club_norm,cooccurrence_count
monchengladbach,borussia ma¶nchengladbach,5
monchengladbach,borussia monchengladbach,5
koln,ka¶ln,4
koln,fc koln,4
dortmund,borussia dortmund,3
stuttgart,vfb stuttgart,2
dortmund,bayern munich,2
clermont foot,angers,1
clermont foot,clermont,1
athletic club,athletic bilbao,1
alaves,deportivo alaves,1
alaves,atletico de madrid,1
athletic club,barcelona,1
dortmund,ka¶ln,1
hellas verona,verona,1
hellas verona,fiorentina,1
heidenheim,vfb stuttgart,1
heidenheim,fc heidenheim,1
leverkusen,bayern munich,1
leverkusen,bayer leverkusen,1
stuttgart,bayern munich,1
stuttgart,borussia dortmund,1
